Coal Including Coal Coke Net Imports CO2 Emissions Monthly
https://www.eia.gov/opendata/qb.php?sdid=TOTAL.CKTCEUS.M
21:08:47 GMT-0800 (北美太平洋标准时间)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.CKTCEUS.M Million Metric Tons of Carbon Dioxide
Oct 2021,72.276
Sep 2021,87.351
Aug 2021,109.089
Jul 2021,109.61
Jun 2021,94.06
May 2021,72.022
Apr 2021,61.88
Mar 2021,70.832
Feb 2021,94.408
Jan 2021,89.888
Dec 2020,86.362
Nov 2020,69.436
Oct 2020,68.647
Sep 2020,76.62
Aug 2020,97.916
Jul 2020,96.543
Jun 2020,73.082
May 2020,54.867
Apr 2020,49.406
Mar 2020,60.646
Feb 2020,66.351
Jan 2020,74.976
Dec 2019,81.899
Nov 2019,84.259
Oct 2019,76.449
Sep 2019,93.719
Aug 2019,103.282
Jul 2019,109.524
Jun 2019,88.734
May 2019,81.187
Apr 2019,68.856
Mar 2019,89.001
Feb 2019,90.424
Jan 2019,110.185
Dec 2018,110.318
Nov 2018,102.997
Oct 2018,97.082
Sep 2018,106.823
Aug 2018,124.558
Jul 2018,124.677
Jun 2018,110.478
May 2018,94.877
Apr 2018,82.481
Mar 2018,89.843
Feb 2018,91.889
Jan 2018,126.532
Dec 2017,115.717
Nov 2017,101.805
Oct 2017,100.003
Sep 2017,108.59
Aug 2017,128.799
Jul 2017,136.263
Jun 2017,115.847
May 2017,101.733
Apr 2017,89.637
Mar 2017,98.28
Feb 2017,96.549
Jan 2017,124.73
Dec 2016,128.616
Nov 2016,97.179
Oct 2016,109.129
Sep 2016,123.31
Aug 2016,144.396
Jul 2016,145.291
Jun 2016,125.26
May 2016,91.813
Apr 2016,80.832
Mar 2016,83.219
Feb 2016,102.649
Jan 2016,123.506
Dec 2015,102.261
Nov 2015,99.696
Oct 2015,108.582
Sep 2015,128.772
Aug 2015,145.63
Jul 2015,151.013
Jun 2015,136.839
May 2015,114.983
Apr 2015,98.996
Mar 2015,118.251
Feb 2015,134.174
Jan 2015,142.702
Dec 2014,137.141
Nov 2014,131.167
Oct 2014,124.412
Sep 2014,138.659
Aug 2014,160.916
Jul 2014,161.861
Jun 2014,148.407
May 2014,129.285
Apr 2014,118.302
Mar 2014,145.136
Feb 2014,152.089
Jan 2014,165.992
Dec 2013,153.696
Nov 2013,132.748
Oct 2013,133.705
Sep 2013,144.811
Aug 2013,161.652
Jul 2013,163.658
Jun 2013,148.667
May 2013,130.276
Apr 2013,122.846
Mar 2013,140.989
Feb 2013,134.977
Jan 2013,149.821
Dec 2012,146.691
Nov 2012,140.071
Oct 2012,133.439
Sep 2012,138.507
Aug 2012,163.514
Jul 2012,170.138
Jun 2012,142.666
May 2012,127.076
Apr 2012,107.216
Mar 2012,118.334
Feb 2012,127.804
Jan 2012,142.417
Dec 2011,148.729
Nov 2011,135.892
Oct 2011,140.772
Sep 2011,153.977
Aug 2011,182.866
Jul 2011,185.729
Jun 2011,167.57
May 2011,148.133
Apr 2011,135.652
Mar 2011,147.649
Feb 2011,148.845
Jan 2011,179.789
Dec 2010,178.577
Nov 2010,148.654
Oct 2010,145.096
Sep 2010,161.817
Aug 2010,190.135
Jul 2010,190.314
Jun 2010,176.156
May 2010,154.878
Apr 2010,138.249
